 7240.401 - KW trigger time, seconds UT.
 7241.106 - corresponding geocenter time (corrected for light propagation from Wind spacecraft to the Earth).
16.309 keV	68.872 keV - energy interval of channel G1.
68.872 keV	283.904 keV - energy interval of channel G2.
283.904 keV	1123.863 keV - energy interval of channel G3.

t1	t2 - begin and end of time bin.
G1	G2	G3 - dead-time corrected count rate counts/s in G1, G2, G3.
G1bgsub	G2bgsub	G3bgsub - dead-time corrected and background substracted count rate counts/s in G1, G2, G3.
eG1	eG2	eG3 - their errors (1 sigma level).

       t1         t2          G1          G2          G3     G1bgsub     G2bgsub     G3bgsub      eG1      eG2      eG3
 -999.906   -996.962     1136.63      420.47      168.91       14.76      -24.60       -0.49    19.65    11.95     7.58
 -996.962   -994.018     1124.44      456.70      177.78        2.57       11.63        8.38    19.54    12.46     7.77
 -994.018   -991.074     1098.30      438.24      180.16      -23.57       -6.82       10.76    19.32    12.20     7.82
 -991.074   -988.130     1161.69      440.93      159.70       39.82       -4.14       -9.70    19.86    12.24     7.37
 -988.130   -985.186     1139.81      476.45      149.14       17.93       31.38      -20.26    19.68    12.72     7.12
 -985.186   -982.242     1113.98      438.52      172.98       -7.89       -6.55        3.57    19.45    12.21     7.67
 -982.242   -979.298     1137.74      436.51      169.93       15.87       -8.56        0.53    19.66    12.18     7.60
 -979.298   -976.354     1157.23      449.80      168.89       35.35        4.74       -0.51    19.83    12.36     7.57
 -976.354   -973.410     1103.08      448.47      187.63      -18.79        3.40       18.23    19.36    12.34     7.98
 -973.410   -970.466     1154.17      433.76      162.43       32.30      -11.30       -6.97    19.80    12.14     7.43
 -970.466   -967.522     1119.15      444.37      170.27       -2.72       -0.70        0.87    19.50    12.29     7.61
 -967.522   -964.578     1091.49      450.20      180.50      -30.38        5.14       11.09    19.25    12.37     7.83
 -964.578   -961.634     1132.27      436.52      181.85       10.39       -8.55       12.45    19.61    12.18     7.86
 -961.634   -958.690     1135.68      440.62      182.20       13.81       -4.44       12.80    19.64    12.23     7.87
 -958.690   -955.746     1146.37      448.83      176.07       24.50        3.77        6.67    19.73    12.35     7.73
 -955.746   -952.802     1087.29      449.81      165.84      -34.58        4.74       -3.57    19.22    12.36     7.50
 -952.802   -949.858     1128.51      450.19      161.08        6.64        5.12       -8.32    19.58    12.37     7.40
 -949.858   -946.914     1117.75      428.64      168.22       -4.12      -16.43       -1.19    19.48    12.07     7.56
 -946.914   -943.970     1121.37      481.60      158.01       -0.50       36.53      -11.40    19.52    12.79     7.33
 -943.970   -941.026     1134.28      425.57      167.54       12.41      -19.50       -1.86    19.63    12.02     7.54
 -941.026   -938.082     1141.63      457.38      169.60       19.76       12.31        0.20    19.69    12.46     7.59
 -938.082   -935.138     1149.80      442.37      171.31       27.93       -2.70        1.91    19.76    12.26     7.63
 -935.138   -932.194     1124.06      436.89      179.83        2.19       -8.18       10.43    19.54    12.18     7.82
 -932.194   -929.250     1140.47      445.37      172.65       18.60        0.30        3.24    19.68    12.30     7.66
 -929.250   -926.306     1137.39      437.89      176.07       15.52       -7.18        6.66    19.66    12.20     7.73
 -926.306   -923.362     1106.49      451.20      167.54      -15.38        6.13       -1.86    19.39    12.38     7.54
 -923.362   -920.418     1133.70      462.84      178.11       11.83       17.77        8.71    19.62    12.54     7.78
 -920.418   -917.474     1140.87      458.06      175.05       19.00       12.99        5.64    19.69    12.47     7.71
 -917.474   -914.530     1132.04      481.27      160.39       10.16       36.20       -9.01    19.61    12.79     7.38
 -914.530   -911.586     1123.03      455.30      180.83        1.16       10.23       11.43    19.53    12.44     7.84
 -911.586   -908.642     1126.76      452.54      162.43        4.89        7.48       -6.97    19.56    12.40     7.43
 -908.642   -905.698     1112.65      446.05      162.08       -9.22        0.98       -7.32    19.44    12.31     7.42
 -905.698   -902.754     1090.58      416.33      155.61      -31.29      -28.74      -13.79    19.25    11.89     7.27
 -902.754   -899.810     1104.84      457.68      152.22      -17.04       12.62      -17.18    19.37    12.47     7.19
 -899.810   -896.866     1098.30      442.68      175.04      -23.57       -2.39        5.64    19.32    12.26     7.71
 -896.866   -893.922     1123.40      446.78      179.47        1.53        1.71       10.07    19.53    12.32     7.81
 -893.922   -890.978     1152.38      426.93      171.28       30.51      -18.14        1.88    19.79    12.04     7.63
 -890.978   -888.034     1104.74      447.42      161.74      -17.13        2.35       -7.67    19.37    12.33     7.41
 -888.034   -885.090     1152.76      422.85      167.89       30.89      -22.21       -1.51    19.79    11.98     7.55
 -885.090   -882.146     1119.92      460.75      152.90       -1.95       15.69      -16.51    19.50    12.51     7.21
 -882.146   -879.202     1126.39      442.32      171.29        4.51       -2.75        1.89    19.56    12.26     7.63
 -879.202   -876.258     1173.80      462.48      160.73       51.93       17.41       -8.67    19.97    12.53     7.39
 -876.258   -873.314     1114.72      447.41      162.76       -7.15        2.34       -6.64    19.46    12.33     7.43
 -873.314   -870.370     1180.62      452.90      175.04       58.75        7.84        5.63    20.03    12.40     7.71
 -870.370   -867.426     1131.00      471.03      168.91        9.13       25.96       -0.49    19.60    12.65     7.58
 -867.426   -864.482     1111.40      460.44      180.16      -10.47       15.38       10.75    19.43    12.51     7.82
 -864.482   -861.538     1132.57      436.85      174.02       10.70       -8.22        4.61    19.61    12.18     7.69
 -861.538   -858.594     1121.94      452.55      164.81        0.07        7.48       -4.59    19.52    12.40     7.48
 -858.594   -855.650     1128.85      467.26      174.36        6.98       22.20        4.96    19.58    12.60     7.70
 -855.650   -852.706     1146.69      459.05      174.35       24.82       13.98        4.95    19.74    12.49     7.70
 -852.706   -849.762     1115.10      448.80      149.83       -6.78        3.73      -19.57    19.46    12.35     7.13
 -849.762   -846.818     1124.68      440.58      151.19        2.81       -4.49      -18.21    19.55    12.23     7.17
 -846.818   -843.874     1114.08      450.54      170.96       -7.80        5.47        1.56    19.45    12.37     7.62
 -843.874   -840.930     1088.73      444.73      177.77      -33.14       -0.34        8.37    19.23    12.29     7.77
 -840.930   -837.986     1148.99      433.76      163.79       27.11      -11.30       -5.61    19.76    12.14     7.46
 -837.986   -835.042     1144.93      454.93      161.40       23.06        9.86       -8.00    19.72    12.43     7.40
 -835.042   -832.098     1099.69      459.05      167.54      -22.18       13.98       -1.86    19.33    12.49     7.54
 -832.098   -829.154     1150.90      475.47      177.77       29.03       30.40        8.37    19.77    12.71     7.77
 -829.154   -826.210     1089.70      439.24      162.10      -32.17       -5.83       -7.30    19.24    12.21     7.42
 -826.210   -823.266     1128.74      439.89      170.93        6.87       -5.18        1.53    19.58    12.22     7.62
 -823.266   -820.322     1151.85      453.59      176.06       29.98        8.53        6.66    19.78    12.41     7.73
 -820.322   -817.378     1142.84      424.24      182.20       20.96      -20.82       12.80    19.70    12.00     7.87
 -817.378   -814.434     1114.06      443.00      168.56       -7.82       -2.07       -0.84    19.45    12.27     7.57
 -814.434   -811.490     1126.39      442.29      157.66        4.52       -2.78      -11.75    19.56    12.26     7.32
 -811.490   -808.546     1110.57      428.32      178.10      -11.30      -16.75        8.70    19.42    12.06     7.78
 -808.546   -805.602     1138.87      441.68      196.18       17.00       -3.39       26.78    19.67    12.25     8.16
 -805.602   -802.658     1134.94      445.36      186.60       13.07        0.29       17.19    19.63    12.30     7.96
 -802.658   -799.714     1096.55      439.27      175.39      -25.32       -5.79        5.99    19.30    12.21     7.72
 -799.714   -796.770     1124.02      453.95      164.49        2.15        8.88       -4.92    19.54    12.42     7.47
 -796.770   -793.826     1115.44      430.71      166.53       -6.43      -14.36       -2.87    19.46    12.10     7.52
 -793.826   -790.882     1080.09      450.16      169.24      -41.78        5.09       -0.16    19.15    12.37     7.58
 -790.882   -787.938     1119.21      453.24      162.43       -2.66        8.17       -6.97    19.50    12.41     7.43
 -787.938   -784.994     1167.31      446.78      164.14       45.44        1.71       -5.26    19.91    12.32     7.47
 -784.994   -782.050     1080.78      436.86      165.51      -41.09       -8.21       -3.90    19.16    12.18     7.50
 -782.050   -779.106     1139.45      454.95      172.31       17.58        9.88        2.91    19.67    12.43     7.65
 -779.106   -776.162     1078.33      432.39      166.18      -43.54      -12.67       -3.23    19.14    12.12     7.51
 -776.162   -773.218     1126.40      448.11      160.39        4.53        3.04       -9.02    19.56    12.34     7.38
 -773.218   -770.274     1101.65      442.29      165.15      -20.22       -2.78       -4.25    19.34    12.26     7.49
 -770.274   -767.330     1113.36      450.85      160.73       -8.51        5.78       -8.67    19.45    12.38     7.39
 -767.330   -764.386     1102.54      467.63      180.50      -19.33       22.57       11.09    19.35    12.60     7.83
 -764.386   -761.442     1140.47      445.72      161.74       18.60        0.65       -7.66    19.68    12.30     7.41
 -761.442   -758.498     1133.21      448.77      166.50       11.34        3.70       -2.90    19.62    12.35     7.52
 -758.498   -755.554     1101.02      444.37      184.57      -20.86       -0.70       15.17    19.34    12.29     7.92
 -755.554   -752.610     1135.30      424.55      175.38       13.42      -20.52        5.97    19.64    12.01     7.72
 -752.610   -749.666     1117.03      421.80      165.83       -4.84      -23.27       -3.57    19.48    11.97     7.50
 -749.666   -746.722     1108.52      430.01      167.54      -13.36      -15.06       -1.86    19.40    12.09     7.54
 -746.722   -743.778     1126.65      444.32      163.44        4.78       -0.74       -5.96    19.56    12.29     7.45
 -743.778   -740.834     1123.67      438.23      160.40        1.80       -6.83       -9.00    19.54    12.20     7.38
 -740.834   -737.890     1099.64      441.98      165.84      -22.23       -3.09       -3.56    19.33    12.25     7.51
 -737.890   -734.946     1114.97      425.56      173.32       -6.89      -19.51        3.91    19.46    12.02     7.67
 -734.946   -732.002     1116.80      445.37      161.41       -5.08        0.31       -7.99    19.48    12.30     7.41
 -732.002   -729.058     1105.51      446.45      185.27      -16.36        1.38       15.86    19.38    12.31     7.93
 -729.058   -726.114     1109.60      437.21      171.30      -12.27       -7.86        1.90    19.41    12.19     7.63
 -726.114   -723.170     1117.86      452.20      164.13       -4.01        7.14       -5.27    19.49    12.39     7.47
 -723.170   -720.226     1137.41      446.76      179.13       15.54        1.70        9.72    19.66    12.32     7.80
 -720.226   -717.282     1117.53      447.81      180.84       -4.34        2.74       11.44    19.48    12.33     7.84
 -717.282   -714.338     1124.32      451.18      165.49        2.45        6.11       -3.91    19.54    12.38     7.50
 -714.338   -711.394     1118.46      444.68      154.25       -3.41       -0.39      -15.15    19.49    12.29     7.24
 -711.394   -708.450     1127.12      457.00      171.63        5.25       11.94        2.23    19.57    12.46     7.63
 -708.450   -705.506     1105.89      451.91      183.22      -15.98        6.84       13.82    19.38    12.39     7.89
 -705.506   -702.562     1137.65      438.55      169.58       15.78       -6.51        0.18    19.66    12.21     7.59
 -702.562   -699.618     1117.02      453.17      154.57       -4.85        8.11      -14.83    19.48    12.41     7.25
 -699.618   -696.674     1113.42      437.55      177.43       -8.45       -7.52        8.03    19.45    12.19     7.76
 -696.674   -693.730     1115.56      468.67      174.38       -6.31       23.60        4.97    19.47    12.62     7.70
 -693.730   -690.786     1094.87      439.94      186.96      -27.00       -5.13       17.56    19.29    12.22     7.97
 -690.786   -687.842     1113.45      473.07      170.27       -8.42       28.00        0.87    19.45    12.68     7.61
 -687.842   -684.898     1128.89      462.15      174.36        7.02       17.08        4.96    19.58    12.53     7.70
 -684.898   -681.954     1135.67      446.08      164.14       13.80        1.01       -5.26    19.64    12.31     7.47
