  861.767 - KW trigger time, seconds UT.
  867.210 - corresponding geocenter time (corrected for light propagation from Wind spacecraft to the Earth).
18.705 keV	78.990 keV - energy interval of channel G1.
78.990 keV	325.610 keV - energy interval of channel G2.
325.610 keV	1288.959 keV - energy interval of channel G3.

t1	t2 - begin and end of time bin.
G1	G2	G3 - dead-time corrected count rate counts/s in G1, G2, G3.
G1bgsub	G2bgsub	G3bgsub - dead-time corrected and background substracted count rate counts/s in G1, G2, G3.
eG1	eG2	eG3 - their errors (1 sigma level).

       t1         t2          G1          G2          G3     G1bgsub     G2bgsub     G3bgsub      eG1      eG2      eG3
 -798.703   -795.759     1049.57      354.69      143.80       -4.44        5.49        6.87    18.88    10.98     6.99
 -795.759   -792.815     1073.59      342.76      136.66       19.57       -6.45       -0.28    19.10    10.79     6.81
 -792.815   -789.871     1077.34      338.31      129.50       23.32      -10.90       -7.44    19.13    10.72     6.63
 -789.871   -786.927     1016.72      370.41      136.65      -37.30       21.20       -0.28    18.58    11.22     6.81
 -786.927   -783.983     1046.80      336.60      133.59       -7.22      -12.61       -3.35    18.86    10.69     6.74
 -783.983   -781.039     1051.38      360.52      141.43       -2.64       11.31        4.49    18.90    11.07     6.93
 -781.039   -778.095     1083.06      335.54      126.07       29.04      -13.67      -10.87    19.18    10.68     6.54
 -778.095   -775.151     1071.16      355.73      144.15       17.15        6.52        7.21    19.07    10.99     7.00
 -775.151   -772.207     1022.08      354.68      131.19      -31.93        5.47       -5.75    18.63    10.98     6.67
 -772.207   -769.263     1063.89      348.51      129.81        9.87       -0.70       -7.12    19.01    10.88     6.64
 -769.263   -766.319     1068.09      350.61      137.67       14.07        1.40        0.74    19.05    10.91     6.84
 -766.319   -763.375     1040.32      349.57      131.19      -13.70        0.37       -5.74    18.80    10.90     6.68
 -763.375   -760.431     1063.93      336.60      135.29        9.91      -12.61       -1.65    19.01    10.69     6.78
 -760.431   -757.487     1041.08      359.51      137.35      -12.94       10.30        0.41    18.80    11.05     6.83
 -757.487   -754.543     1024.94      365.98      144.15      -29.08       16.77        7.21    18.66    11.15     7.00
 -754.543   -751.599     1066.04      359.13      134.60       12.02        9.92       -2.33    19.03    11.04     6.76
 -751.599   -748.655     1050.92      336.96      138.70       -3.10      -12.25        1.77    18.89    10.70     6.86
 -748.655   -745.711     1073.30      350.29      141.78       19.28        1.08        4.84    19.09    10.91     6.94
 -745.711   -742.767     1075.89      339.30      126.76       21.87       -9.90      -10.18    19.12    10.74     6.56
 -742.767   -739.823     1021.41      358.42      126.41      -32.61        9.21      -10.52    18.63    11.03     6.55
 -739.823   -736.879     1055.76      351.29      131.88        1.75        2.08       -5.05    18.94    10.92     6.69
 -736.879   -733.935     1048.85      354.00      127.78       -5.16        4.79       -9.16    18.88    10.97     6.59
