66631.033 - KW trigger time, seconds UT.
66635.247 - corresponding geocenter time (corrected for light propagation from Wind spacecraft to the Earth).
19.211 keV	81.125 keV - energy interval of channel G1.
81.125 keV	334.410 keV - energy interval of channel G2.
334.410 keV	1323.795 keV - energy interval of channel G3.

t1	t2 - begin and end of time bin.
G1	G2	G3 - dead-time corrected count rate counts/s in G1, G2, G3.
G1bgsub	G2bgsub	G3bgsub - dead-time corrected and background substracted count rate counts/s in G1, G2, G3.
eG1	eG2	eG3 - their errors (1 sigma level).

       t1         t2          G1          G2          G3     G1bgsub     G2bgsub     G3bgsub      eG1      eG2      eG3
 -798.023   -795.079     1052.83      350.36      143.68        9.90       -2.81       -6.71    18.91    10.91     6.99
 -795.079   -792.135     1096.87      360.64      148.13       53.94        7.46       -2.27    19.30    11.07     7.09
 -792.135   -789.191     1059.70      329.91      160.04       16.77      -23.26        9.65    18.97    10.59     7.37
 -789.191   -786.247     1073.13      352.78      151.19       30.20       -0.39        0.80    19.09    10.95     7.17
 -786.247   -783.303     1088.95      361.65      152.21       46.02        8.48        1.81    19.23    11.08     7.19
 -783.303   -780.359     1031.27      345.60      150.50      -11.66       -7.58        0.10    18.72    10.84     7.15
 -780.359   -777.415     1024.40      346.28      153.22      -18.53       -6.89        2.83    18.65    10.85     7.21
 -777.415   -774.471     1040.54      344.93      144.38       -2.39       -8.24       -6.02    18.80    10.82     7.00
 -774.471   -771.527     1096.42      345.62      156.97       53.49       -7.56        6.58    19.30    10.84     7.30
 -771.527   -768.583     1056.66      349.01      151.52       13.73       -4.16        1.13    18.95    10.89     7.17
 -768.583   -765.639     1032.09      376.32      145.39      -10.84       23.15       -5.00    18.72    11.31     7.03
 -765.639   -762.695     1060.06      351.73      161.05       17.14       -1.44       10.66    18.98    10.93     7.40
 -762.695   -759.751     1070.48      352.81      162.10       27.55       -0.36       11.71    19.07    10.95     7.42
 -759.751   -756.807     1038.87      359.60      144.72       -4.06        6.43       -5.68    18.79    11.05     7.01
 -756.807   -753.863     1048.41      338.09      146.41        5.48      -15.09       -3.98    18.87    10.72     7.05
 -753.863   -750.919     1055.65      368.46      142.32       12.72       15.29       -8.07    18.94    11.19     6.95
 -750.919   -747.975     1044.65      347.31      142.33        1.72       -5.86       -8.06    18.84    10.86     6.95
 -747.975   -745.031     1061.51      355.50      151.52       18.59        2.33        1.13    18.99    10.99     7.17
 -745.031   -742.087     1058.09      366.75      153.22       15.16       13.58        2.83    18.96    11.16     7.21
 -742.087   -739.143     1041.54      339.47      147.10       -1.39      -13.71       -3.29    18.81    10.74     7.07
 -739.143   -736.199     1039.52      339.81      144.03       -3.41      -13.36       -6.36    18.79    10.74     7.00
 -736.199   -733.255     1002.79      339.45      146.07      -40.13      -13.72       -4.32    18.46    10.74     7.04
 -733.255   -730.311     1019.99      356.85      150.49      -22.94        3.68        0.10    18.61    11.01     7.15
 -730.311   -727.367     1079.94      345.27      145.06       37.01       -7.90       -5.34    19.15    10.83     7.02
 -727.367   -724.423     1049.50      352.08      147.43        6.57       -1.09       -2.96    18.88    10.94     7.08
 -724.423   -721.479     1049.12      346.98      150.50        6.19       -6.20        0.11    18.88    10.86     7.15
 -721.479   -718.535     1071.73      344.60      149.49       28.80       -8.58       -0.91    19.08    10.82     7.13
 -718.535   -715.591     1019.60      344.24      152.20      -23.32       -8.93        1.81    18.61    10.81     7.19
 -715.591   -712.647     1052.26      350.75      169.25        9.33       -2.42       18.85    18.91    10.91     7.58
 -712.647   -709.703     1086.49      353.12      145.74       43.56       -0.05       -4.66    19.21    10.95     7.04
 -709.703   -706.759     1045.06      355.53      150.52        2.13        2.35        0.12    18.84    10.99     7.15
 -706.759   -703.815     1047.37      348.32      138.23        4.44       -4.85      -12.16    18.86    10.88     6.85
 -703.815   -700.871     1061.82      358.59      154.93       18.89        5.42        4.54    18.99    11.04     7.25
 -700.871   -697.927      994.67      373.25      147.10      -48.26       20.07       -3.30    18.38    11.26     7.07
 -697.927   -694.983     1070.61      343.87      146.40       27.68       -9.30       -4.00    19.07    10.81     7.05
 -694.983   -692.039     1082.77      371.88      159.35       39.84       18.71        8.96    19.18    11.24     7.36
 -692.039   -689.095     1034.01      344.59      160.38       -8.92       -8.58        9.99    18.74    10.82     7.38
 -689.095   -686.151     1036.12      343.57      138.25       -6.80       -9.60      -12.14    18.76    10.80     6.85
 -686.151   -683.207     1041.96      350.40      145.75       -0.97       -2.77       -4.65    18.81    10.91     7.04
 -683.207   -680.263     1026.90      358.25      162.09      -16.03        5.08       11.70    18.68    11.03     7.42
 -680.263   -677.319     1009.73      356.87      148.46      -33.20        3.70       -1.93    18.52    11.01     7.10
 -677.319   -674.375     1038.48      349.37      156.98       -4.44       -3.80        6.59    18.78    10.89     7.30
 -674.375   -671.431     1062.10      332.64      155.95       19.18      -20.53        5.56    18.99    10.63     7.28
 -671.431   -668.487     1058.33      355.83      147.77       15.41        2.66       -2.63    18.96    10.99     7.08
 -668.487   -665.543     1027.18      347.99      143.35      -15.75       -5.18       -7.04    18.68    10.87     6.98
 -665.543   -662.599     1026.14      351.07      148.80      -16.79       -2.11       -1.59    18.67    10.92     7.11
 -662.599   -659.655     1062.91      355.88      165.84       19.98        2.71       15.45    19.00    10.99     7.50
 -659.655   -656.711     1043.95      350.70      139.26        1.03       -2.47      -11.14    18.83    10.91     6.88
 -656.711   -653.767     1052.46      333.99      148.46        9.54      -19.18       -1.94    18.91    10.65     7.10
 -653.767   -650.823     1006.67      374.27      149.48      -36.26       21.09       -0.92    18.49    11.28     7.13
 -650.823   -647.879     1027.18      358.57      151.86      -15.75        5.40        1.47    18.68    11.04     7.18
 -647.879   -644.935     1089.27      357.90      160.04       46.34        4.72        9.65    19.23    11.03     7.37
 -644.935   -641.991      988.13      355.50      154.93      -54.79        2.33        4.54    18.32    10.99     7.25
 -641.991   -639.047     1030.32      358.24      162.76      -12.61        5.07       12.37    18.71    11.03     7.43
 -639.047   -636.103     1060.10      351.42      159.36       17.17       -1.75        8.97    18.98    10.93     7.36
 -636.103   -633.159     1055.60      346.60      147.76       12.67       -6.58       -2.63    18.94    10.85     7.08
 -633.159   -630.215      999.18      372.92      149.82      -43.75       19.75       -0.57    18.42    11.26     7.13
 -630.215   -627.271     1032.29      350.03      156.96      -10.64       -3.15        6.57    18.73    10.90     7.30
 -627.271   -624.327     1058.44      356.54      150.17       15.52        3.36       -0.22    18.96    11.01     7.14
 -624.327   -621.383     1048.40      344.57      137.22        5.48       -8.60      -13.18    18.87    10.82     6.83
 -621.383   -618.439     1025.18      353.48      153.58      -17.74        0.31        3.18    18.66    10.96     7.22
 -618.439   -615.495     1048.47      343.57      158.34        5.54       -9.60        7.95    18.87    10.80     7.33
 -615.495   -612.551     1049.45      350.38      158.34        6.52       -2.79        7.94    18.88    10.91     7.33
 -612.551   -609.607     1047.80      357.91      153.58        4.87        4.74        3.19    18.87    11.03     7.22
 -609.607   -606.663     1038.49      355.48      141.64       -4.43        2.31       -8.76    18.78    10.99     6.94
 -606.663   -603.719     1026.82      346.63      138.92      -16.11       -6.55      -11.47    18.68    10.85     6.87
 -603.719   -600.775     1044.71      357.55      154.25        1.78        4.38        3.85    18.84    11.02     7.24
 -600.775   -597.831     1036.87      364.72      150.16       -6.06       11.54       -0.23    18.77    11.13     7.14
 -597.831   -594.887     1038.60      371.55      150.84       -4.32       18.38        0.45    18.78    11.23     7.16
 -594.887   -591.943     1036.78      340.50      150.51       -6.14      -12.68        0.11    18.77    10.75     7.15
 -591.943   -588.999     1020.70      361.30      148.12      -22.23        8.13       -2.28    18.62    11.08     7.09
 -588.999   -586.055     1030.98      363.70      148.46      -11.95       10.53       -1.93    18.71    11.12     7.10
 -586.055   -583.111     1036.10      337.76      143.01       -6.82      -15.41       -7.38    18.76    10.71     6.97
 -583.111   -580.167     1016.47      329.90      141.31      -26.45      -23.27       -9.09    18.58    10.59     6.93
 -580.167   -577.223     1086.37      347.96      142.31       43.44       -5.21       -8.08    19.21    10.87     6.95
 -577.223   -574.279     1064.54      354.15      156.29       21.61        0.98        5.90    19.02    10.97     7.29
 -574.279   -571.335     1034.13      358.27      147.46       -8.80        5.10       -2.94    18.74    11.03     7.08
 -571.335   -568.391     1020.68      345.96      152.55      -22.25       -7.21        2.16    18.62    10.84     7.20
 -568.391   -565.447     1061.40      347.30      150.84       18.48       -5.87        0.45    18.99    10.86     7.16
 -565.447   -562.503     1058.69      359.94      151.19       15.76        6.77        0.80    18.96    11.06     7.17
 -562.503   -559.559     1036.13      358.59      155.28       -6.80        5.42        4.88    18.76    11.04     7.26
 -559.559   -556.615     1066.25      346.99      166.17       23.32       -6.18       15.78    19.03    10.86     7.51
 -556.615   -553.671     1049.49      348.70      149.49        6.57       -4.47       -0.90    18.88    10.88     7.13
 -553.671   -550.727     1036.72      351.40      149.82       -6.21       -1.77       -0.58    18.77    10.93     7.13
 -550.727   -547.783     1027.81      349.00      145.04      -15.12       -4.17       -5.35    18.68    10.89     7.02
 -547.783   -544.839     1046.38      346.64      159.36        3.45       -6.54        8.97    18.85    10.85     7.36
 -544.839   -541.895     1046.24      323.76      139.94        3.31      -29.41      -10.45    18.85    10.49     6.89
 -541.895   -538.951     1028.24      356.54      158.68      -14.69        3.37        8.29    18.69    11.01     7.34
 -538.951   -536.007     1031.93      345.59      148.11      -10.99       -7.58       -2.28    18.72    10.84     7.09
 -536.007   -533.063     1021.31      348.67      143.69      -21.62       -4.50       -6.71    18.63    10.88     6.99
 -533.063   -530.119      986.03      349.36      145.73      -56.89       -3.82       -4.66    18.30    10.89     7.04
 -530.119   -527.175     1096.86      370.21      163.46       53.93       17.04       13.06    19.30    11.21     7.45
 -527.175   -524.231     1037.50      368.82      154.59       -5.43       15.65        4.20    18.77    11.19     7.25
 -524.231   -521.287     1036.04      354.46      156.62       -6.89        1.29        6.23    18.76    10.97     7.29
 -521.287   -518.343     1082.80      362.69      151.53       39.87        9.51        1.14    19.18    11.10     7.17
 -518.343   -515.399     1039.28      372.25      159.37       -3.65       19.08        8.97    18.79    11.24     7.36
 -515.399   -512.455     1048.44      364.37      156.63        5.51       11.19        6.23    18.87    11.12     7.29
 -512.455   -509.511     1030.98      343.58      154.26      -11.94       -9.59        3.87    18.71    10.80     7.24
 -509.511   -506.567     1029.01      354.87      165.51      -13.92        1.70       15.12    18.70    10.98     7.50
 -506.567   -503.623     1047.49      368.16      160.73        4.56       14.99       10.34    18.86    11.18     7.39
 -503.623   -500.679     1056.67      354.83      158.33       13.75        1.65        7.94    18.95    10.98     7.33
 -500.679   -497.735     1053.87      340.14      151.52       10.94      -13.03        1.13    18.92    10.75     7.17
 -497.735   -494.791     1036.80      354.48      140.97       -6.12        1.30       -9.43    18.77    10.97     6.92
 -494.791   -491.847     1008.39      353.12      157.99      -34.54       -0.06        7.60    18.51    10.95     7.33
 -491.847   -488.903     1004.61      358.25      149.83      -38.32        5.08       -0.56    18.47    11.03     7.13
 -488.903   -485.959     1042.87      332.29      143.69       -0.05      -20.89       -6.71    18.82    10.62     6.99
 -485.959   -483.015     1069.76      343.94      154.61       26.83       -9.24        4.22    19.06    10.81     7.25
 -483.015   -480.071     1020.32      342.55      160.72      -22.61      -10.63       10.33    18.62    10.79     7.39
 -480.071   -477.127     1004.26      355.85      151.53      -38.67        2.68        1.13    18.47    10.99     7.17
 -477.127   -474.183     1040.83      338.77      144.71       -2.10      -14.41       -5.69    18.80    10.73     7.01
 -474.183   -471.239     1069.32      352.41      135.51       26.39       -0.76      -14.88    19.06    10.94     6.78
 -471.239   -468.295     1054.96      364.37      144.03       12.03       11.20       -6.36    18.93    11.12     7.00
 -468.295   -465.351     1050.85      358.56      140.62        7.92        5.39       -9.77    18.89    11.04     6.91
 -465.351   -462.407     1003.27      352.11      151.53      -39.66       -1.06        1.14    18.46    10.94     7.17
 -462.407   -459.463     1031.34      364.03      157.65      -11.59       10.85        7.25    18.72    11.12     7.32
 -459.463   -456.519     1020.00      339.81      155.28      -22.92      -13.36        4.88    18.61    10.74     7.26
 -456.519   -453.575     1055.35      370.19      151.19       12.42       17.01        0.80    18.93    11.21     7.17
 -453.575   -450.631     1060.43      353.80      131.43       17.51        0.62      -18.96    18.98    10.96     6.68
 -450.631   -447.687     1059.71      353.44      146.75       16.78        0.27       -3.65    18.97    10.96     7.06
 -447.687   -444.743     1051.14      352.08      150.16        8.21       -1.09       -0.24    18.90    10.94     7.14
 -444.743   -441.799     1030.01      359.65      168.57      -12.92        6.47       18.18    18.70    11.05     7.57
 -441.799   -438.855     1030.23      366.06      151.17      -12.70       12.89        0.77    18.71    11.15     7.17
 -438.855   -435.911     1052.17      354.46      141.29        9.24        1.28       -9.10    18.91    10.97     6.93
 -435.911   -432.967     1049.12      374.92      144.36        6.19       21.75       -6.04    18.88    11.29     7.00
 -432.967   -430.023     1007.71      363.04      150.85      -35.21        9.86        0.46    18.50    11.11     7.16
 -430.023   -427.079     1040.17      346.61      148.79       -2.76       -6.56       -1.60    18.80    10.85     7.11
 -427.079   -424.135     1043.63      354.82      146.41        0.70        1.65       -3.98    18.83    10.98     7.05
 -424.135   -421.191     1057.08      369.17      148.13       14.15       16.00       -2.27    18.95    11.20     7.09
 -421.191   -418.247     1063.78      347.63      137.89       20.85       -5.55      -12.50    19.01    10.87     6.84
 -418.247   -415.303     1042.64      357.56      148.47       -0.28        4.39       -1.93    18.82    11.02     7.10
 -415.303   -412.359     1017.92      355.15      155.95      -25.01        1.98        5.56    18.59    10.98     7.28
 -412.359   -409.415      995.98      357.20      141.99      -46.95        4.03       -8.41    18.39    11.02     6.95
 -409.415   -406.471     1029.89      358.56      144.37      -13.04        5.39       -6.03    18.70    11.04     7.00
 -406.471   -403.527     1049.73      338.43      143.35        6.80      -14.74       -7.05    18.88    10.72     6.98
 -403.527   -400.583     1096.78      353.80      144.37       53.85        0.63       -6.02    19.30    10.96     7.00
