year,b,c,m,x,total,href
1994*,0,0,1,0,1,https://www.ioffe.ru/LEA/Solar/1994_en.html
1995,1,2,6,0,9,https://www.ioffe.ru/LEA/Solar/1995_en.html
1996,0,0,1,1,2,https://www.ioffe.ru/LEA/Solar/1996_en.html
1997,0,6,8,3,17,https://www.ioffe.ru/LEA/Solar/1997_en.html
1998,1,26,25,10,62,https://www.ioffe.ru/LEA/Solar/1998_en.html
1999,0,28,55,3,86,https://www.ioffe.ru/LEA/Solar/1999_en.html
2000,0,35,57,14,106,https://www.ioffe.ru/LEA/Solar/2000_en.html
2001,0,32,64,15,111,https://www.ioffe.ru/LEA/Solar/2001_en.html
2002,0,33,48,9,90,https://www.ioffe.ru/LEA/Solar/2002_en.html
2003,1,25,45,14,85,https://www.ioffe.ru/LEA/Solar/2003_en.html
2004,0,23,41,11,75,https://www.ioffe.ru/LEA/Solar/2004_en.html
2005,0,10,18,9,37,https://www.ioffe.ru/LEA/Solar/2005_en.html
2006,2,6,1,3,12,https://www.ioffe.ru/LEA/Solar/2006_en.html
2007,0,1,4,0,5,https://www.ioffe.ru/LEA/Solar/2007_en.html
2008,0,0,0,0,0,https://www.ioffe.ru/LEA/Solar/2008_en.html
2009,0,0,0,0,0,https://www.ioffe.ru/LEA/Solar/2009_en.html
2010,0,1,6,0,7,https://www.ioffe.ru/LEA/Solar/2010_en.html
2011,0,12,22,8,42,https://www.ioffe.ru/LEA/Solar/2011_en.html
2012,0,4,31,5,40,https://www.ioffe.ru/LEA/Solar/2012_en.html
2013,0,19,25,10,54,https://www.ioffe.ru/LEA/Solar/2013_en.html
2014,0,22,35,10,67,https://www.ioffe.ru/LEA/Solar/2014_en.html
2015,0,12,24,2,38,https://www.ioffe.ru/LEA/Solar/2015_en.html
2016,0,3,1,0,4,https://www.ioffe.ru/LEA/Solar/2016_en.html
2017,0,6,5,3,14,https://www.ioffe.ru/LEA/Solar/2017_en.html
2018,0,0,0,0,0,https://www.ioffe.ru/LEA/Solar/2018_en.html
2019,0,1,0,0,1,https://www.ioffe.ru/LEA/Solar/2019_en.html
2020,0,1,0,0,1,https://www.ioffe.ru/LEA/Solar/2020_en.html
2021,0,3,1,2,6,https://www.ioffe.ru/LEA/Solar/2021_en.html
2022,0,7,22,5,34,https://www.ioffe.ru/LEA/Solar/2022_en.html
2023,0,7,23,8,38,https://www.ioffe.ru/LEA/Solar/2023_en.html
2024,0,9,76,30,115,https://www.ioffe.ru/LEA/Solar/2024_en.html
2025,0,3,13,5,21,https://www.ioffe.ru/LEA/Solar/2025_en.html
All years,5,337,658,180,1180,
